epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1365.39,1.32544,0.59599,0.94939,0.91276,0.8365,0.8899,0.46098,1.60243,0.67339,1.08926,0.0008318,0.0008318,0.0008318
61,1387.43,1.31075,0.60197,0.94783,0.91459,0.81435,0.8911,0.45835,1.66964,0.69107,1.09833,0.000812,0.000812,0.000812
62,1409.61,1.31835,0.60942,0.95241,0.92096,0.84182,0.89405,0.46258,1.58804,0.65576,1.07042,0.0007922,0.0007922,0.0007922
63,1431.69,1.28641,0.59725,0.93805,0.88257,0.85732,0.88728,0.4767,1.51041,0.68038,1.05876,0.0007724,0.0007724,0.0007724
64,1453.91,1.25684,0.58049,0.93168,0.90198,0.83975,0.89022,0.4472,1.59659,0.68241,1.07721,0.0007526,0.0007526,0.0007526
65,1475.69,1.22813,0.57019,0.93466,0.87966,0.8327,0.87807,0.45878,1.58451,0.68515,1.07241,0.0007328,0.0007328,0.0007328
66,1497.3,1.21868,0.56371,0.92794,0.91773,0.84828,0.91341,0.49309,1.47136,0.67276,1.04184,0.000713,0.000713,0.000713
67,1519.52,1.24982,0.5803,0.92907,0.93503,0.82076,0.89327,0.49552,1.49057,0.66633,1.05652,0.0006932,0.0006932,0.0006932
68,1542.22,1.23339,0.56708,0.933,0.90033,0.82434,0.87567,0.46531,1.54585,0.66134,1.0704,0.0006734,0.0006734,0.0006734
69,1563.9,1.2019,0.56195,0.91068,0.91549,0.82378,0.85501,0.47411,1.5276,0.64497,1.07255,0.0006536,0.0006536,0.0006536
70,1586.08,1.17224,0.54479,0.92474,0.92432,0.8365,0.89213,0.49081,1.43047,0.64066,1.04614,0.0006338,0.0006338,0.0006338
71,1607.72,1.16657,0.54038,0.91585,0.91759,0.84791,0.8863,0.47716,1.52838,0.65996,1.07466,0.000614,0.000614,0.000614
72,1629.52,1.17743,0.54332,0.91694,0.93183,0.83165,0.89288,0.49248,1.45543,0.64618,1.03431,0.0005942,0.0005942,0.0005942
73,1651.23,1.14919,0.53827,0.90843,0.96185,0.86279,0.92498,0.51201,1.46264,0.64672,1.0465,0.0005744,0.0005744,0.0005744
74,1673.76,1.14594,0.52919,0.91316,0.92118,0.8251,0.89756,0.50334,1.49125,0.64984,1.06015,0.0005546,0.0005546,0.0005546
75,1696.06,1.12594,0.52406,0.91255,0.90294,0.85171,0.89318,0.50406,1.46868,0.62463,1.05043,0.0005348,0.0005348,0.0005348
76,1717.73,1.135,0.53059,0.90399,0.8911,0.84003,0.86798,0.46077,1.54923,0.6526,1.06643,0.000515,0.000515,0.000515
77,1739.57,1.09221,0.51143,0.89302,0.90231,0.84286,0.88153,0.4969,1.47564,0.62114,1.0477,0.0004952,0.0004952,0.0004952
78,1761.24,1.09891,0.52042,0.89511,0.92622,0.85923,0.91783,0.49879,1.4119,0.60227,1.02819,0.0004754,0.0004754,0.0004754
79,1782.84,1.10258,0.51108,0.89332,0.92084,0.85171,0.91238,0.51758,1.43258,0.59254,1.04196,0.0004556,0.0004556,0.0004556
80,1805.18,1.07815,0.50631,0.89939,0.91662,0.87777,0.92554,0.52294,1.38655,0.59632,1.03076,0.0004358,0.0004358,0.0004358
81,1827.59,1.04871,0.4979,0.88842,0.93716,0.85171,0.91867,0.51741,1.3953,0.59461,1.03017,0.000416,0.000416,0.000416
82,1849.77,1.07896,0.50039,0.89441,0.91593,0.8699,0.91804,0.52769,1.38312,0.60826,1.02539,0.0003962,0.0003962,0.0003962
83,1871.87,1.06612,0.49328,0.8929,0.9159,0.88593,0.92932,0.54187,1.37757,0.61627,1.02993,0.0003764,0.0003764,0.0003764
84,1895.85,1.10826,0.51053,0.89809,0.94291,0.8289,0.91171,0.52114,1.36765,0.61463,1.02648,0.0003566,0.0003566,0.0003566
85,1917.97,1.06227,0.50372,0.88842,0.89559,0.8806,0.92103,0.53828,1.35023,0.58506,1.02453,0.0003368,0.0003368,0.0003368
86,1939.86,1.01902,0.48151,0.88629,0.90521,0.87147,0.92365,0.53766,1.33918,0.58374,1.01854,0.000317,0.000317,0.000317
87,1961.94,0.99992,0.47164,0.88274,0.92212,0.84411,0.90637,0.53653,1.34249,0.57922,1.02527,0.0002972,0.0002972,0.0002972
88,1983.57,0.98342,0.46477,0.88177,0.93698,0.85171,0.92037,0.53396,1.32027,0.58052,1.02166,0.0002774,0.0002774,0.0002774
89,2005.46,1.01687,0.47539,0.87951,0.94615,0.86847,0.92141,0.5347,1.35402,0.57689,1.02928,0.0002576,0.0002576,0.0002576
90,2027.09,0.98742,0.45963,0.8775,0.91026,0.88703,0.92667,0.5408,1.30912,0.57643,1.01364,0.0002378,0.0002378,0.0002378
91,2051.44,0.96042,0.44531,0.88851,0.9401,0.85932,0.9274,0.53801,1.33005,0.58603,1.02079,0.000218,0.000218,0.000218
92,2073.38,0.9493,0.43453,0.88463,0.92597,0.8561,0.91261,0.53333,1.34755,0.57652,1.02541,0.0001982,0.0001982,0.0001982
93,2094.68,0.93897,0.43087,0.89126,0.9214,0.86692,0.90665,0.52907,1.35536,0.58638,1.02996,0.0001784,0.0001784,0.0001784
94,2116.16,0.89333,0.40923,0.87667,0.91487,0.85171,0.89316,0.53865,1.3341,0.58014,1.03382,0.0001586,0.0001586,0.0001586
95,2137.62,0.89022,0.41417,0.87854,0.91636,0.85932,0.90022,0.54944,1.28505,0.57421,1.02153,0.0001388,0.0001388,0.0001388
96,2159.99,0.88369,0.41347,0.87529,0.91469,0.86312,0.91058,0.55189,1.28163,0.5736,1.01793,0.000119,0.000119,0.000119
97,2182.13,0.86313,0.40392,0.8686,0.91893,0.85171,0.90213,0.54963,1.3124,0.58605,1.02931,9.92e-05,9.92e-05,9.92e-05
98,2203.82,0.86273,0.40254,0.87287,0.93835,0.85932,0.9137,0.5531,1.28916,0.57271,1.02282,7.94e-05,7.94e-05,7.94e-05
99,2226.06,0.86715,0.40256,0.87071,0.93022,0.86168,0.90851,0.56217,1.28814,0.56948,1.0219,5.96e-05,5.96e-05,5.96e-05
100,2252.38,0.84557,0.39967,0.86326,0.93019,0.86692,0.92427,0.56911,1.25723,0.57227,1.01054,3.98e-05,3.98e-05,3.98e-05
